Sum of enrollment,,,,,,,,,,,,,,,,,,,,
Buildings,F,M,MF,MTThF,MW,MWF,S,T,TBA,Th,TTh,TThF,TWTh,W,WF,(blank),Grand Total,Y,X,
111 Lampe Drive,440,439,,,1949,167,,405,,648,2758,,,856,,,7662,"35.785683366953435,",-78.66800596,
1911 Bldg,22,54,,,361,,,122,,6,382,,,44,,,991,"35.78681409687144,",-78.66729523,
Biltmore Hall,37,37,,,300,192,,54,,78,665,,,49,20,,1432,"35.78245303696949,",-78.67772999,
Bostian Hall,19,240,,,103,924,,488,,229,1313,,,389,,,3705,"35.787694181397775,",-78.67185648,
Brooks Hall,64,38,13,,115,126,,103,,140,140,,,86,,,825,"35.78454926944696,",-78.66470278,
Broughton Hall,,,,,285,372,,5,,,494,,,,,,1156,"35.78552500110432,",-78.66983187,
Burlington,35,67,,,126,30,,62,,6,211,,,27,14,,578,"35.78600872619435,",-78.66880404,
Caldwell Hall,53,62,,,919,88,,19,,49,1147,,,63,,,2400,"35.78713490865086,",-78.66586302,
Carmichael Gym,,120,,,1665,173,,164,,59,1626,,,108,,,3915,"35.78366222876253,",-78.67246597,
Case Academic Center,,10,,,,,,,,,,,,41,,,51,"35.78282853289372,",-78.66948887,
Clark Hall,,,,,,,,,,11,,,,,,,11,"35.782433341071325,",-78.66721057,
Cox Hall,53,190,,,1036,260,,82,,99,1236,,,13,,,2969,"35.786395731176626,",-78.67108402,
D S Weaver Labs,47,87,,,181,105,,147,,92,261,,,144,44,,1108,"35.78365322880885,",-78.67939013,
Dabney Hall,76,94,,,1750,1189,,189,,116,2190,,,89,5,,5698,"35.78652291092565,",-78.67128167,
David Clark Labs,25,54,,,577,120,,90,,125,444,,,137,15,,1587,"35.787937434051976,",-78.67374892,
DH Hill Library,,,,,242,,,9,,,379,,,55,,,685,"35.78761663872358,",-78.66942837,
Frank Thompson Hall,,,,,17,,,,,,64,,,15,,,96,"35.782866836319194,",-78.66699105,
Gardner Hall,8,38,,,284,,,261,12,159,635,,,421,,,1818,"35.787100747853614,",-78.67263191,
Grinnells Lab,,,,,,,,10,,18,,,,,,,28,"35.78420705490343,",-78.68070596,
Hodges Wood Products,,19,,,19,,,18,,,36,,,22,,,114,"35.783240082154414,",-78.67733753,
Holmes Hall,,,,,,,,,,,21,,,,,,21,"35.784652731832054,",-78.67399681,
Jordan Hall,131,662,20,,362,229,,575,,327,994,,16,693,,,4009,"35.78184563008703,",-78.67632974,
Kamphoefner Hall,10,14,,,526,162,,41,,13,443,,,14,,,1223,"35.78500811654689,",-78.66563276,
Kilgore Hall,24,22,,,320,58,,28,,40,488,,,56,,,1036,"35.788500509678144,",-78.67296714,
Language And Computer L,,,,,30,,,,,,24,,,,,,54,"35.78532430176258,",-78.66752859,
Leazar Hall,26,41,,,170,42,,102,8,71,183,29,,48,,,720,"35.78572092064889,",-78.66549826,
Marye Anne Fox Science,712,934,,,311,30,,2212,,2091,318,,,1824,,,8432,"35.78744585044718,",-78.67339874,
Nelson Hall,1966,69,,,3829,34,42,111,,26,4213,,,180,,,10470,"35.78858230325538,",-78.67383868,
Park Shops,,54,,,958,483,,149,,81,1290,,,73,,,3088,"35.78580918676487,",-78.66714094,
Patterson Hall,,10,,,23,55,,44,,12,19,,,27,,,190,"35.78719530842703,",-78.66877333,
Polk Hall,60,70,,,17,,,,,24,30,,,99,,,300,"35.78615905600297,",-78.6698477,
